No	標準的な表記	読み	語彙の難易度	品詞1	品詞2(詳細)	語種
4054	木彫り	キボリ	5.上級前半	名詞	名詞-普通名詞-一般	和語
4055	基本	キホン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4056	基本給	キホンキュウ	4.中級後半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
4057	基本的	キホンテキ	3.中級前半	ナ形容詞	名詞-普通名詞-一般 and 接尾辞-形状詞的	漢語
4058	基本的人権	キホンテキジンケン	5.上級前半	名詞	名詞-普通名詞-一般 and 接尾辞-形状詞的 and 名詞-普通名詞-一般	漢語
4059	気まずい	キマズイ	5.上級前半	イ形容詞	形容詞-一般	混種語
4060	期末	キマツ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4061	決まり	キマリ	3.中級前半	名詞	名詞-普通名詞-一般	和語
4062	決まり文句	キマリモンク	5.上級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	混種語
4063	決まる	キマル	2.初級後半	動詞1類	動詞-一般	和語
4912	君	キミ	3.中級前半	接尾辞	未知語 and 接尾辞-名詞的-一般	和語
4064	黄身	キミ	4.中級後半	名詞	名詞-普通名詞-一般	和語
4065	気味	キミ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4066	機密	キミツ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4067	奇妙	キミョウ	4.中級後半	ナ形容詞	形状詞-一般	漢語
4068	義務	ギム	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4069	義務教育	ギムキョウイク	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能	漢語
4070	気難しい	キムズカシイ	5.上級前半	イ形容詞	形容詞-一般	混種語
4071	キムチ	キムチ	2.初級後半	名詞	名詞-普通名詞-一般	外来語
4072	記名	キメイ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4073	決め付ける	キメツケル	5.上級前半	動詞2類	動詞-一般	和語
4075	決め手	キメテ	5.上級前半	名詞	名詞-普通名詞-一般	和語
4076	決める	キメル	2.初級後半	動詞2類	動詞-一般	和語
4077	肝	キモ	5.上級前半	名詞	名詞-普通名詞-一般	和語
4078	気持ち	キモチ	2.初級後半	名詞	名詞-普通名詞-一般	混種語
4079	気持ち良い	キモチイイ	2.初級後半	名詞	名詞-普通名詞-一般 and 形容詞-非自立可能	混種語
4080	着物	キモノ	3.中級前半	名詞	名詞-普通名詞-一般	和語
4081	鬼門	キモン	6.上級後半	名詞	名詞-普通名詞-一般	漢語
4082	疑問	ギモン	3.中級前半	名詞	名詞-普通名詞-一般	漢語
4083	疑問文	ギモンブン	3.中級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	漢語
4084	ギア	ギヤ	5.上級前半	名詞	名詞-普通名詞-一般	外来語
4085	客	キャク	2.初級後半	名詞	名詞-普通名詞-一般	漢語
4086	脚	キャク	4.中級後半	接尾辞	接尾辞-名詞的-助数詞	和語
4087	規約	キヤク	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4088	逆	ギャク	3.中級前半	名詞	名詞-普通名詞-形状詞可能	漢語
4089	ギャグ	ギャグ	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4090	逆効果	ギャクコウカ	4.中級後半	名詞	名詞-普通名詞-形状詞可能 and 名詞-普通名詞-一般	漢語
4091	虐殺	ギャクサツ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4092	逆算	ギャクサン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4093	客室	キャクシツ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4094	逆襲	ギャクシュウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4095	逆上	ギャクジョウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4096	客席	キャクセキ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
4097	逆説	ギャクセツ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4098	客船	キャクセン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4099	虐待	ギャクタイ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4100	逆探知	ギャクタンチ	5.上級前半	名詞	名詞-普通名詞-形状詞可能 and 名詞-普通名詞-サ変可能	漢語
4101	逆転	ギャクテン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4102	客引き	キャクヒキ	5.上級前半	名詞	名詞-普通名詞-一般	混種語
4103	脚本	キャクホン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4104	客間	キャクマ	4.中級後半	名詞	名詞-普通名詞-一般	混種語
4105	逆輸入	ギャクユニュウ	4.中級後半	名詞	名詞-普通名詞-形状詞可能 and 名詞-普通名詞-サ変可能	漢語
4106	客用	キャクヨウ	4.中級後半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
4107	きゃしゃ	キャシャ	5.上級前半	ナ形容詞	形状詞-一般	漢語
4108	気安い	キヤスイ	5.上級前半	イ形容詞	形容詞-一般	混種語
4109	キャスター	キャスター	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4110	キャスティング	キャスティング	5.上級前半	名詞	名詞-普通名詞-一般	外来語
4111	キャスト	キャスト	5.上級前半	名詞	名詞-普通名詞-一般	外来語
4112	却下	キャッカ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4113	客観	キャッカン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4114	客観的	キャッカンテキ	4.中級後半	ナ形容詞	名詞-普通名詞-サ変可能 and 接尾辞-形状詞的	漢語
4115	キャッシュ	キャッシュ	3.中級前半	名詞	名詞-普通名詞-一般	外来語
4116	キャッシュカード	キャッシュカード	2.初級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	外来語
4117	キャッチ	キャッチ	3.中級前半	名詞	名詞-普通名詞-サ変可能	外来語
4118	キャッチフレーズ	キャッチフレーズ	5.上級前半	名詞	名詞-普通名詞-一般	外来語
4119	キャッチャー	キャッチャー	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4120	ギャップ	ギャップ	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4121	キャディー	キャディー	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4122	キャビア	キャビア	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4123	キャビン	キャビン	5.上級前半	名詞	名詞-普通名詞-一般	外来語
4124	キャプテン	キャプテン	3.中級前半	名詞	名詞-普通名詞-一般	外来語
4125	キャベツ	キャベツ	2.初級後半	名詞	名詞-普通名詞-一般	外来語
4126	キャミソール	キャミソール	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4127	ギャラ	ギャラ	5.上級前半	名詞	名詞-普通名詞-一般	外来語
4128	キャラクター	キャラクター	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4129	キャラメル	キャラメル	3.中級前半	名詞	名詞-普通名詞-一般	外来語
4130	ギャラリー	ギャラリー	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4131	ギャル	ギャル	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4132	ギャング	ギャング	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4133	キャンセル	キャンセル	3.中級前半	名詞	名詞-普通名詞-サ変可能	外来語
4134	キャンデー	キャンデー	3.中級前半	名詞	名詞-普通名詞-一般	外来語
4135	キャンドル	キャンドル	3.中級前半	名詞	名詞-普通名詞-一般	外来語
4136	キャンバス	キャンバス	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4137	キャンパス	キャンパス	3.中級前半	名詞	名詞-普通名詞-一般	外来語
4138	キャンピング	キャンピング	5.上級前半	名詞	名詞-普通名詞-一般	外来語
4139	キャンピングカー	キャンピングカー	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	外来語
4140	キャンプ	キャンプ	3.中級前半	名詞	名詞-普通名詞-サ変可能	外来語
4141	ギャンブル	ギャンブル	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4142	キャンペーン	キャンペーン	4.中級後半	名詞	名詞-普通名詞-一般	外来語
4144	九	キュウ	1.初級前半	名詞	名詞-数詞	漢語
5942	九	キュウ	1.初級前半	名詞	名詞-数詞	漢語
4145	急	キュウ	3.中級前半	名詞	名詞-普通名詞-形状詞可能	漢語
4146	級	キュウ	3.中級前半	名詞	接尾辞-名詞的-一般	漢語
4150	級	キュウ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
4147	旧	キュウ	4.中級後半	接頭辞	名詞-普通名詞-一般	漢語
4149	球	キュウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4151	牛	ギュウ	3.中級前半	接尾辞	接尾辞-名詞的-一般	漢語
4152	吸引	キュウイン	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4154	救援	キュウエン	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4155	休暇	キュウカ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4156	球界	キュウカイ	6.上級後半	名詞	名詞-普通名詞-一般	漢語
4157	嗅覚	キュウカク	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4159	休館	キュウカン	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
4160	休刊	キュウカン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4161	救急	キュウキュウ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
4162	救急車	キュウキュウシャ	3.中級前半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
4163	急遽	キュウキョ	5.上級前半	副詞	副詞	漢語
4164	休業	キュウギョウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4165	究極	キュウキョク	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4166	窮屈	キュウクツ	5.上級前半	ナ形容詞	形状詞-一般	漢語
4167	休憩	キュウケイ	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
4168	求刑	キュウケイ	6.上級後半	名詞	名詞-普通名詞-サ変可能	漢語
4169	急激	キュウゲキ	4.中級後半	ナ形容詞	形状詞-一般	漢語
4170	吸血	キュウケツ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4171	吸血鬼	キュウケツキ	6.上級後半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
4172	急行	キュウコウ	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
4173	休講	キュウコウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4174	救済	キュウサイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4175	休止	キュウシ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4176	球児	キュウジ	6.上級後半	名詞	名詞-普通名詞-一般	漢語
4177	旧式	キュウシキ	5.上級前半	名詞	名詞-普通名詞-形状詞可能	漢語
4178	休日	キュウジツ	2.初級後半	名詞	名詞-普通名詞-副詞可能	漢語
4180	九州	キュウシュウ	2.初級後半	名詞	名詞-固有名詞-地名-一般	漢語
4179	吸収	キュウシュウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4181	救出	キュウシュツ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4183	救助	キュウジョ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4184	球場	キュウジョウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4185	急上昇	キュウジョウショウ	4.中級後半	名詞	名詞-普通名詞-形状詞可能 and 名詞-普通名詞-サ変可能	漢語
4186	給食	キュウショク	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
4189	休職	キュウショク	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4188	求職	キュウショク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4191	急進	キュウシン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4190	休診	キュウシン	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4192	求人	キュウジン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4193	吸水	キュウスイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4194	給水	キュウスイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4195	旧姓	キュウセイ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4196	急増	キュウゾウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4197	急速	キュウソク	4.中級後半	ナ形容詞	形状詞-一般	漢語
4198	休息	キュウソク	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4199	急速	キュウソク	4.中級後半	ナ形容詞	名詞-普通名詞-形状詞可能	漢語
4200	球速	キュウソク	6.上級後半	名詞	名詞-普通名詞-一般	漢語
4201	球団	キュウダン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4203	宮廷	キュウテイ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4204	宮殿	キュウデン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4205	キュート	キュート	4.中級後半	ナ形容詞	形状詞-一般	外来語
4206	給湯	キュウトウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4207	牛丼	ギュウドン	2.初級後半	名詞	名詞-普通名詞-一般	混種語
4208	牛肉	ギュウニク	2.初級後半	名詞	名詞-普通名詞-一般	漢語
4210	吸入	キュウニュウ	6.上級後半	名詞	名詞-普通名詞-サ変可能	漢語
4211	牛乳	ギュウニュウ	1.初級前半	名詞	名詞-普通名詞-一般	漢語
4212	給付	キュウフ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4213	急変	キュウヘン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4214	窮乏	キュウボウ	6.上級後半	名詞	名詞-普通名詞-サ変可能	漢語
4215	急務	キュウム	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4216	救命	キュウメイ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4217	給油	キュウユ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4218	給与	キュウヨ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4220	急用	キュウヨウ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
4219	休養	キュウヨウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4222	きゅうり	キュウリ	2.初級後半	名詞	名詞-普通名詞-一般	和語
4223	急流	キュウリュウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4224	給料	キュウリョウ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
4225	旧暦	キュウレキ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4226	ぎゅっと	ギュット	4.中級後半	副詞	副詞	和語
4227	寄与	キヨ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4229	清い	キヨイ	5.上級前半	イ形容詞	形容詞-一般	和語
4230	今日	キョウ	1.初級前半	名詞	名詞-普通名詞-副詞可能	和語
4238	強	キョウ	3.中級前半	接尾辞	名詞-普通名詞-一般	漢語
4231	教	キョウ	4.中級後半	接尾辞	接尾辞-名詞的-一般	漢語
4232	京	キョウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4234	鏡	キョウ	4.中級後半	接尾辞	接尾辞-名詞的-一般	漢語
4237	橋	キョウ	4.中級後半	名詞	接尾辞-名詞的-一般	漢語
4235	凶	キョウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4240	起用	キヨウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4241	器用	キヨウ	4.中級後半	ナ形容詞	形状詞-一般	漢語
4244	行	ギョウ	3.中級前半	名詞	接尾辞-名詞的-助数詞	漢語
4242	行	ギョウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4243	業	ギョウ	4.中級後半	接尾辞	接尾辞-名詞的-一般	漢語
4245	凶悪	キョウアク	5.上級前半	ナ形容詞	形状詞-一般	漢語
4247	脅威	キョウイ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4248	教育	キョウイク	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
4249	教育委員会	キョウイクイインカイ	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 名詞-普通名詞-一般 and 名詞-普通名詞-一般	漢語
4250	教育課程	キョウイクカテイ	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 名詞-普通名詞-一般	漢語
4251	教育実習	キョウイクジッシュウ	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 名詞-普通名詞-サ変可能	漢語
4252	教育者	キョウイクシャ	4.中級後半	名詞	名詞-普通名詞-サ変可能 and 接尾辞-名詞的-一般	漢語
4253	教育的	キョウイクテキ	4.中級後半	名詞	名詞-普通名詞-サ変可能 and 接尾辞-形状詞的	漢語
4254	教員	キョウイン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4255	共演	キョウエン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4256	教科	キョウカ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4257	強化	キョウカ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4258	教会	キョウカイ	2.初級後半	名詞	名詞-普通名詞-一般	漢語
4259	協会	キョウカイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4260	境界	キョウカイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4261	業界	ギョウカイ	4.中級後半	名詞	接尾辞-名詞的-一般 and 接尾辞-名詞的-一般	漢語
4262	業界	ギョウカイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4263	教科書	キョウカショ	1.初級前半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
4264	恐喝	キョウカツ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4266	共感	キョウカン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4265	教官	キョウカン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4267	凶器	キョウキ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4268	競技	キョウギ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4269	協議	キョウギ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4270	行儀	ギョウギ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4272	協議会	キョウギカイ	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 名詞-普通名詞-一般	漢語
4273	競技場	キョウギジョウ	4.中級後半	名詞	名詞-普通名詞-サ変可能 and 接尾辞-名詞的-一般	漢語
4274	供給	キョウキュウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4275	境遇	キョウグウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4276	教訓	キョウクン	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4277	強肩	キョウケン	6.上級後半	名詞	名詞-普通名詞-一般	漢語
4278	狂言	キョウゲン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4279	強固	キョウコ	4.中級後半	ナ形容詞	形状詞-一般	漢語
4280	凝固	ギョウコ	6.上級後半	名詞	名詞-普通名詞-サ変可能	漢語
4281	強行	キョウコウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4282	強硬	キョウコウ	5.上級前半	名詞	形状詞-一般	漢語
4283	教材	キョウザイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4284	凶作	キョウサク	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4285	協賛	キョウサン	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4286	共産主義	キョウサンシュギ	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	漢語
4288	共産党	キョウサントウ	4.中級後半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
4289	教師	キョウシ	2.初級後半	名詞	名詞-普通名詞-一般	漢語
4290	行事	ギョウジ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
4291	教室	キョウシツ	1.初級前半	名詞	名詞-普通名詞-一般	漢語
4292	強者	キョウシャ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4293	業者	ギョウシャ	4.中級後半	名詞	接尾辞-名詞的-一般 and 接尾辞-名詞的-一般	漢語
4294	業者	ギョウシャ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4295	強弱	キョウジャク	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4296	教授	キョウジュ	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
4297	享受	キョウジュ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4298	業種	ギョウシュ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4299	教習	キョウシュウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4300	郷愁	キョウシュウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4302	教習所	キョウシュウショ	4.中級後半	名詞	名詞-普通名詞-サ変可能 and 接尾辞-名詞的-一般	漢語
4303	恐縮	キョウシュク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4304	凝縮	ギョウシュク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4305	供述	キョウジュツ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4306	教職員	キョウショクイン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4307	強震	キョウシン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4308	興ずる	キョウズル	6.上級後半	動詞3類	動詞-一般	混種語
4311	強制	キョウセイ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4309	矯正	キョウセイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4310	共生	キョウセイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4312	行政	ギョウセイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4313	行政改革	ギョウセイカイカク	5.上級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能	漢語
4314	強制執行	キョウセイシッコウ	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 名詞-普通名詞-サ変可能	漢語
4315	行政処分	ギョウセイショブン	5.上級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能	漢語
4316	強制送還	キョウセイソウカン	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 名詞-普通名詞-サ変可能	漢語
4317	強制的	キョウセイテキ	4.中級後半	名詞	名詞-普通名詞-サ変可能 and 接尾辞-形状詞的	漢語
4318	業績	ギョウセキ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4319	教祖	キョウソ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4320	競争	キョウソウ	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
4321	競走	キョウソウ	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
4322	競争力	キョウソウリョク	4.中級後半	名詞	名詞-普通名詞-サ変可能 and 接尾辞-名詞的-一般	漢語
4323	共存	キョウゾン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4324	強打	キョウダ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4325	兄弟	キョウダイ	1.初級前半	名詞	名詞-普通名詞-一般	漢語
4326	強大	キョウダイ	4.中級後半	ナ形容詞	名詞-普通名詞-形状詞可能	漢語
4327	教壇	キョウダン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4328	境地	キョウチ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4329	協調	キョウチョウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4330	強調	キョウチョウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4331	共通	キョウツウ	3.中級前半	名詞	名詞-普通名詞-サ変形状詞可能	漢語
4332	共通語	キョウツウゴ	4.中級後半	名詞	名詞-普通名詞-サ変形状詞可能 and 名詞-普通名詞-一般	漢語
4333	共通項	キョウツウコウ	5.上級前半	名詞	名詞-普通名詞-サ変形状詞可能 and 名詞-普通名詞-一般	漢語
4334	協定	キョウテイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4335	仰天	ギョウテン	6.上級後半	名詞	名詞-普通名詞-サ変可能	漢語
4338	教徒	キョウト	5.上級前半	接尾辞	接尾辞-名詞的-一般 and 名詞-普通名詞-一般	漢語
4340	強度	キョウド	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4341	郷土	キョウド	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4343	教頭	キョウトウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4344	共同	キョウドウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4346	協同	キョウドウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4347	協同組合	キョウドウクミアイ	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 名詞-普通名詞-一般	漢語
4348	共同体	キョウドウタイ	4.中級後半	名詞	名詞-普通名詞-サ変可能 and 接尾辞-名詞的-一般	漢語
4350	競売	キョウバイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4351	脅迫	キョウハク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4352	脅迫罪	キョウハクザイ	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 接尾辞-名詞的-一般	漢語
4353	恐怖	キョウフ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4354	胸部	キョウブ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4355	強風	キョウフウ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
4356	恐怖症	キョウフショウ	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 接尾辞-名詞的-一般	漢語
4357	教本	キョウホン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4358	興味	キョウミ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
4359	興味深い	キョウミブカイ	4.中級後半	イ形容詞	名詞-普通名詞-一般 and 形容詞-一般	混種語
4360	興味本位	キョウミホンイ	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	漢語
4361	業務	ギョウム	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4362	共鳴	キョウメイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
4363	教諭	キョウユ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4364	共有	キョウユウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4365	教養	キョウヨウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4366	強要	キョウヨウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4367	共用	キョウヨウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4368	郷里	キョウリ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4369	恐竜	キョウリュウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
4370	協力	キョウリョク	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
4371	強力	キョウリョク	4.中級後半	ナ形容詞	形状詞-一般	漢語
4373	強烈	キョウレツ	5.上級前半	ナ形容詞	形状詞-一般	漢語
4374	行列	ギョウレツ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
4376	許可	キョカ	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
4377	魚介類	ギョカイルイ	4.中級後半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
4378	巨額	キョガク	4.中級後半	名詞	形状詞-一般	漢語
4379	漁業	ギョギョウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4380	局	キョク	2.初級後半	接尾辞	接尾辞-名詞的-一般	漢語
4381	曲	キョク	3.中級前半	名詞	名詞-普通名詞-一般	漢語
4382	局	キョク	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4384	極	キョク	4.中級後半	副詞	名詞-普通名詞-一般	漢語
4385	玉	ギョク	4.中級後半	名詞	名詞-普通名詞-一般	漢語
4386	極限	キョクゲン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
